Player,Team,Pos,Injury,Status
Bralen Trice,26,LB,Knee,IR
Cory Trice,6,CB,Knee,IR
Ezekiel Turner,22,LB,Foot,IR
Payton Turner,19,DE,Ribs,IR-R
Shemar Turner,23,DT,Knee - ACL,IR
KaVontae Turpin,19,WR,Shoulder,Questionable
Shy Tuttle,9,DT,Head,Questionable
Sione Vaki,22,RB,Ankle,Questionable
Lukas Van Ness,24,DE,Foot,Questionable
Ben VanSumeren,17,FB,Knee,IR
Alijah Vera-Tucker,2,OG,Triceps,IR
Malik Verdon,26,S,Shoulder,NFI-R
Travis Vokolek,31,TE,Neck,IR
Cordell Volson,5,OG,Shoulder,IR
Dayton Wade,8,WR,Ribs,IR
David Walker,28,LB,Knee,IR
Johnny Walker,13,LB,Undisclosed,IR
Quay Walker,24,LB,Neck,Questionable
Travon Walker,11,DE,Knee,Questionable
Trevin Wallace,25,LB,Shoulder,Questionable
Darren Waller,1,TE,Pectoral,IR
Justin Walley,12,CB,Knee - ACL,IR
Jimmie Ward,10,S,Foot,PUP-R
Fred Warner,30,LB,Ankle,IR
Ar'Darius Washington,8,S,Achilles,PUP-R
Broderick Washington,8,DT,Achilles,IR
Savion Washington,14,OT,Undisclosed,PUP-R
Deshaun Watson,7,QB,Achilles,PUP-R
Justin Watson,10,WR,Achilles,IR
Nathaniel Watson,7,LB,Biceps,IR
Carson Wentz,21,QB,Shoulder,IR
Tyrone Wheatley,26,OT,Undisclosed,IR
Dontayvion Wicks,24,WR,Calf,Questionable
Cameron Williams,17,OT,Shoulder,IR
John Williams,24,OG,Back,PUP-R
Jonah Williams,31,OT,Shoulder,IR
Josh Williams,28,RB,Suspension,Reserve-Sus
Mike Williams,14,WR,Undisclosed,Reserve-Ex
Milton Williams,4,DT,Ankle,IR
Mykel Williams,30,DE,Knee - ACL,IR
Savion Williams,24,WR,Foot,Questionable
Donovan Wilson,19,S,Neck,Questionable
Garrett Wilson,2,WR,Knee,IR
Jack Wilson,12,OT,Undisclosed,IR
Jared Wilson,4,OG,Ankle,Doubtful
Johnny Wilson,17,WR,Knee,IR
Mack Wilson,31,LB,Ribs,IR
Marco Wilson,5,CB,Hamstring,Questionable
Rashad Wisdom,28,S,Quadriceps,IR
Deatrich Wise,18,DE,Quadriceps,IR
Ahkello Witherspoon,32,CB,Collarbone,IR
Hunter Wohler,12,S,Foot,IR
Josh Woods,26,LB,Hamstring,Questionable
Xavier Woods,9,S,Hamstring,Questionable
Alex Wright,7,DE,Quadriceps,Questionable
Brock Wright,22,TE,Neck,Questionable
Dareke Young,29,WR,Quadriceps,IR
Landon Young,27,OT,Ankle,IR
Chandler Zavala,25,OG,Calf,Questionable
Shane Zylstra,22,TE,Ankle,IR
