Player,Team,Pos,Injury,Status
Sharrod Neasman,FA,S,Undisclosed,Questionable
Nik Needham,MIA,CB,Achilles,Questionable
Matt Nelson,DET,OT,Ankle,IR
Nick Nelson,FA,CB,Undisclosed,Questionable
Hardy Nickerson,FA,LB,Concussion,Questionable
Tre Nixon,NE,WR,Shoulder,IR
Elijah Nkansah,FA,OT,Undisclosed,Questionable
Desmond Noel,FA,OG,Undisclosed,Questionable
Quinn Nordin,FA,K,Undisclosed,Questionable
Jared Norris,FA,LB,Shoulder,Questionable
Andrew Norwell,FA,OG,Hip,Questionable
Uchenna Nwosu,SEA,LB,Pectoral,Out
Nick O'Leary,FA,TE,Chest,Questionable
Leon O'Neal,FA,S,Undisclosed,Questionable
Ifeadi Odenigbo,NYJ,DE,Undisclosed,IR
Chris Odom,FA,DE,Knee - ACL,Questionable
Otito Ogbonnia,LAC,DT,Kneecap,PUP-R
Adetokunbo Ogundeji,ATL,LB,Foot,IR
David Ojabo,BAL,LB,Ankle,IR
Azeez Ojulari,NYG,LB,Ankle,IR
Ed Oliver,BUF,DT,Toe,Questionable
Sewo Olonilua,FA,FB,Neck,Questionable
Joshua Onujiogu,SEA,LB,Elbow,IR
Joe Ostman,FA,DE,Undisclosed,Questionable
DeMarvion Overshown,DAL,LB,Knee - ACL,IR
Tanner Owen,FA,OT,Illness,Questionable
Alex Palczewski,DEN,OT,Hand,IR
Andrew Parchment,FA,WR,Undisclosed,Questionable
Brandon Parker,FA,OT,Undisclosed,Questionable
Zach Pascal,ARI,WR,Neck,Questionable
Tim Patrick,DEN,WR,Achilles,IR
Matt Peart,NYG,OT,Shoulder,IR
John Penisini,FA,DT,Undisclosed,Questionable
Jordan Perryman,FA,CB,Undisclosed,Questionable
Tautala Pesefea,FA,DT,Undisclosed,Questionable
Dante Pettis,FA,WR,Undisclosed,Questionable
La'Michael Pettway,FA,TE,Undisclosed,Questionable
Jacob Phillips,CLE,LB,Pectoral,IR
Jordan Phillips,BUF,DT,Back,Questionable
Kevin Pierre-Louis,FA,LB,Groin,Questionable
Jared Pinkney,FA,TE,Undisclosed,Questionable
Danny Pinter,IND,C,Ankle,IR
Quentin Poling,FA,LB,Undisclosed,Questionable
Elijah Ponder,FA,LB,Undisclosed,Questionable
Troymaine Pope,FA,RB,Undisclosed,Questionable
Monte Pottebaum,FA,FB,Undisclosed,Reserve-Ret
Adam Prentice,NO,FB,Knee,IR
Austin Proehl,FA,WR,Undisclosed,Questionable
Scott Quessenberry,HOU,C,Knee - ACL + MCL,IR
Brent Qvale,FA,OT,Undisclosed,Questionable
