Player,Team,Pos,Injury,Status
Cameron Williams,17,OT,Shoulder,IR
Garrett Williams,31,CB,Knee,IR
John Williams,24,OG,Back,PUP-R
Josh Williams,28,RB,Concussion,Questionable
Mike Williams,14,WR,Undisclosed,Reserve-Ex
Quincy Williams,2,LB,Shoulder,IR
Garrett Wilson,2,WR,Knee,Questionable
Jack Wilson,12,OT,Undisclosed,IR
Johnny Wilson,17,WR,Knee,IR
Perrion Winfrey,19,DT,Back,IR
Rashad Wisdom,28,S,Quadriceps,IR
Deatrich Wise,18,DE,Quadriceps,IR
Ahkello Witherspoon,32,CB,Collarbone,IR
Devon Witherspoon,29,CB,Knee,Questionable
Hunter Wohler,12,S,Foot,IR
Charles Woods,4,CB,Knee,Questionable
Devonte Wyatt,24,DT,Knee,Questionable
Rock Ya-Sin,22,CB,Lower Body,Questionable
Kenny Yeboah,22,TE,Knee,IR
Isaac Yiadom,27,CB,Hamstring,Questionable
Bryce Young,25,QB,Ankle,Doubtful
Dareke Young,29,WR,Hip,Questionable
Landon Young,27,OT,Ankle,IR
Chandler Zavala,25,OG,Knee,IR
Shane Zylstra,22,TE,Ankle,IR
