season,gametypeid,week,date,awayteam,hometeam,network,time
2024,2,16,12/22/2024,Jaguars,Raiders,CBS,4:25 PM
2024,2,16,12/22/2024,Buccaneers,Cowboys,NBC,8:20 PM
2024,2,16,12/23/2024,Saints,Packers,ESPN,8:15 PM
2024,2,17,12/25/2024,Chiefs,Steelers,Netflix,1:00 PM
2024,2,17,12/25/2024,Ravens,Texans,Netflix,4:30 PM
2024,2,17,12/26/2024,Seahawks,Bears,Amazon,8:15 PM
2024,2,17,12/29/2024,Jets,Bills,TBD,1:00 PM
2024,2,17,12/29/2024,Broncos,Bengals,TBD,1:00 PM
2024,2,17,12/29/2024,Titans,Jaguars,TBD,1:00 PM
2024,2,17,12/29/2024,Packers,Vikings,TBD,1:00 PM
2024,2,17,12/29/2024,Raiders,Saints,TBD,1:00 PM
2024,2,17,12/29/2024,Chargers,Patriots,CBS,1:00 PM
2024,2,17,12/29/2024,Colts,Giants,CBS,1:00 PM
2024,2,17,12/29/2024,Cardinals,Rams,FOX,1:00 PM
2024,2,17,12/29/2024,Panthers,Buccaneers,FOX,1:00 PM
2024,2,17,12/29/2024,Falcons,Commanders,CBS,1:00 PM
2024,2,17,12/29/2024,Cowboys,Eagles,FOX,4:25 PM
2024,2,17,12/29/2024,Dolphins,Browns,NBC,8:20 PM
2024,2,17,12/30/2024,Lions,49ers,ABC ,8:15 PM
2024,2,18,01/5/2025,Panthers,Falcons,TBD,1:00 PM
2024,2,18,01/5/2025,Jaguars,Colts,TBD,1:00 PM
2024,2,18,01/5/2025,49ers,Cardinals,TBD,1:00 PM
2024,2,18,01/5/2025,Commanders,Cowboys,TBD,1:00 PM
2024,2,18,01/5/2025,Chiefs,Broncos,TBD,1:00 PM
2024,2,18,01/5/2025,Vikings,Lions,TBD,1:00 PM
2024,2,18,01/5/2025,Bears,Packers,TBD,1:00 PM
2024,2,18,01/5/2025,Bills,Patriots,TBD,1:00 PM
2024,2,18,01/5/2025,Dolphins,Jets,TBD,1:00 PM
2024,2,18,01/5/2025,Texans,Titans,TBD,1:00 PM
2024,2,18,01/5/2025,Giants,Eagles,TBD,1:00 PM
2024,2,18,01/5/2025,Bengals,Steelers,TBD,1:00 PM
2024,2,18,01/5/2025,Chargers,Raiders,TBD,1:00 PM
2024,2,18,01/5/2025,Seahawks,Rams,TBD,1:00 PM
2024,2,18,01/5/2025,Browns,Ravens,TBD,1:00 PM
2024,2,18,01/5/2025,Saints,Buccaneers,TBD,1:00 PM
