Player,Team,Pos,Injury,Status,Est. Return
Matt Henningsen,DEN,DT,Achilles,IR,Subscribers Only
Ra'Shaun Henry,FA,WR,Undisclosed,Questionable,Subscribers Only
Will Hernandez,ARI,OG,Hip,Questionable,Subscribers Only
Chandon Herring,FA,OG,Undisclosed,Questionable,Subscribers Only
Justin Herron,FA,OT,Arm,Questionable,Subscribers Only
Shaka Heyward,CIN,LB,Lower Leg,IR,Subscribers Only
Jordan Hicks,CLE,LB,Undisclosed,Reserve-Ret,Subscribers Only
Tyler Higbee,LAR,TE,Ankle,IR,Subscribers Only
Jay Higgins,BAL,LB,Knee,IR,Subscribers Only
Tee Higgins,CIN,WR,Concussion,Out,Subscribers Only
Alex Highsmith,PIT,LB,Pectoral,Questionable,Subscribers Only
Jamal Hill,HOU,LB,Hamstring,Questionable,Subscribers Only
Troy Hill,FA,CB,Foot,Questionable,Subscribers Only
Trysten Hill,FA,DT,Undisclosed,Questionable,Subscribers Only
Tyreek Hill,MIA,WR,Knee - ACL,IR,Subscribers Only
Dontrell Hilliard,FA,RB,Neck,Questionable,Subscribers Only
Mike Hilton,FA,CB,Shoulder,Out,Subscribers Only
Kurt Hinish,HOU,DT,Undisclosed,PUP-R,Subscribers Only
Myles Hinton,PHI,OT,Back,IR-R,Subscribers Only
Nate Hobbs,GB,CB,Knee - MCL,Questionable,Subscribers Only
Cooper Hodges,JAX,OG,Knee,PUP-R,Subscribers Only
Curtis Hodges,FA,TE,Undisclosed,Questionable,Subscribers Only
Michael Hoecht,BUF,DE,Achilles,IR,Subscribers Only
George Holani,SEA,RB,Hamstring,Doubtful,Subscribers Only
Will Holden,FA,OT,Calf,Questionable,Subscribers Only
Justin Hollins,FA,LB,Undisclosed,Questionable,Subscribers Only
Cody Hollister,FA,WR,Neck,Questionable,Subscribers Only
Ka'dar Hollman,FA,CB,Knee - ACL,Questionable,Subscribers Only
Gavin Holmes,FA,CB,Undisclosed,Questionable,Subscribers Only
Malik Hooker,DAL,S,Toe,Questionable,Subscribers Only
Jaycee Horn,CAR,CB,Concussion,Questionable,Subscribers Only
Tory Horton,SEA,WR,Shin,IR,Subscribers Only
Jarveon Howard,FA,RB,Undisclosed,Questionable,Subscribers Only
Xavien Howard,IND,CB,Personal,Reserve-Ret,Subscribers Only
Hayden Howerton,FA,OG,Undisclosed,Questionable,Subscribers Only
Jonathan Hubbard,FA,OT,Undisclosed,Questionable,Subscribers Only
Sam Hubbard,CIN,DE,Undisclosed,Reserve-Ret,Subscribers Only
Rodney Hudson,FA,C,Knee,Questionable,Subscribers Only
Tommy Hudson,FA,TE,Undisclosed,Questionable,Subscribers Only
Charley Hughlett,PHI,C,Abdomen,IR,Subscribers Only
Robert Hunt,CAR,OG,Biceps,IR,Subscribers Only
Jontrey Hunter,FA,LB,Undisclosed,Questionable,Subscribers Only
Travis Hunter,JAX,WR,Knee,IR,Subscribers Only
Adin Huntington,CLE,DE,Groin,Questionable,Subscribers Only
Allen Hurns,FA,WR,Wrist,Questionable,Subscribers Only
John Hurst,FA,WR,Ankle,Questionable,Subscribers Only
Ishmael Hyman,FA,WR,Undisclosed,Questionable,Subscribers Only
Ruben Hyppolite,CHI,LB,Shoulder,Questionable,Subscribers Only
Germain Ifedi,MIA,OT,Undisclosed,IR,Subscribers Only
George Iloka,FA,S,Knee - ACL,Questionable,Subscribers Only
Keaontay Ingram,KC,RB,Undisclosed,IR,Subscribers Only
Matt Ioannidis,FA,DT,Back,Questionable,Subscribers Only
Bucky Irving,TB,RB,Shoulder,Questionable,Subscribers Only
Isaiah Irving,FA,LB,Back,Questionable,Subscribers Only
Adisa Isaac,BAL,LB,Elbow,IR-R,Subscribers Only
Andy Isabella,FA,WR,Ankle,Questionable,Subscribers Only
Isaiah Iton,NE,DE,Hip,IR,Subscribers Only
Thomas Ives,FA,WR,Undisclosed,Questionable,Subscribers Only
Adoree' Jackson,PHI,CB,Head,Questionable,Subscribers Only
Austin Jackson,MIA,OT,Toe,IR-R,Subscribers Only
Branden Jackson,FA,DE,Spine,Questionable,Subscribers Only
Brennan Jackson,LV,LB,Foot,IR,Subscribers Only
Dan Jackson,DET,S,Leg,IR,Subscribers Only
Donovan Jackson,MIN,OG,Ankle,Questionable,Subscribers Only
Drake Jackson,WAS,DE,Knee,IR-R,Subscribers Only
Lamar Jackson,BAL,QB,Toe,Questionable,Subscribers Only
Landon Jackson,BUF,DE,Knee,IR,Subscribers Only
Tarron Jackson,SF,DE,Undisclosed,IR,Subscribers Only
Trishton Jackson,FA,WR,Thumb,Questionable,Subscribers Only
Tyree Jackson,WAS,TE,Undisclosed,IR,Subscribers Only
Warren Jackson,FA,WR,Undisclosed,Questionable,Subscribers Only
Josh Jacobs,GB,RB,Knee,Questionable,Subscribers Only
Craig James,FA,CB,Undisclosed,Questionable,Subscribers Only
Ja'Wuan James,FA,OT,Achilles,Questionable,Subscribers Only
Jadon Janke,FA,WR,Undisclosed,Questionable,Subscribers Only
Javontae Jean-Baptiste,WAS,DE,Pectoral,IR,Subscribers Only
Ashton Jeanty,LV,RB,Ankle,Questionable,Subscribers Only
Trajan Jeffcoat,FA,DE,Undisclosed,Out,Subscribers Only
Malik Jefferson,FA,LB,Undisclosed,Questionable,Subscribers Only
Elgton Jenkins,GB,C,Lower Leg,IR,Subscribers Only
Jordan Jenkins,FA,DE,Knee - ACL,Questionable,Subscribers Only
Nash Jensen,FA,OG,Undisclosed,Questionable,Subscribers Only
