Player,Team,Pos,Injury,Status
Keith Washington,FA,CB,Wrist,Questionable
Kekoa Crawford,FA,WR,Undisclosed,Questionable
Kemon Hall,FA,CB,Undisclosed,Questionable
Ken Webster,FA,CB,Undisclosed,Questionable
Kevin Pierre-Louis,FA,LB,Groin,Questionable
Koda Martin,FA,OG,Undisclosed,Questionable
Kolby Harvell-Peel,FA,S,Hamstring,Questionable
Kris Boyd,FA,CB,Hip,Questionable
Kyle Fuller,FA,CB,Knee - ACL,Questionable
Kyle Murphy,FA,OG,Ankle,Questionable
Kyric McGowan,FA,WR,Undisclosed,Questionable
L.J. Fort,FA,LB,Knee - ACL,Questionable
La'Michael Pettway,FA,TE,Undisclosed,Questionable
Lachavious Simmons,FA,OG,Undisclosed,Questionable
Lamarcus Joyner,FA,S,Hip,Questionable
Ledarius Mack,FA,LB,Undisclosed,Questionable
Leon O'Neal,FA,S,Undisclosed,Questionable
Levine Toilolo,FA,TE,Achilles,Questionable
Lew Nichols,FA,RB,Shoulder,Questionable
Liam Shanahan,FA,C,Undisclosed,Questionable
Mac McCain,FA,CB,Undisclosed,Questionable
Mackensie Alexander,FA,CB,Undisclosed,Questionable
Marcus Cannon,FA,OT,Concussion,Questionable
Marcus Martin,FA,C,Undisclosed,Questionable
Marcus Webb,FA,DE,Undisclosed,Questionable
Marcus Willoughby,FA,DE,Undisclosed,Questionable
Mark Gilbert,FA,CB,Undisclosed,Questionable
Mark Ingram,FA,RB,Knee - MCL,Questionable
Marquise Blair,FA,S,Undisclosed,Questionable
Marvell Tell,FA,CB,Undisclosed,Questionable
Matt Barkley,FA,QB,Elbow,Questionable
Matt Gono,FA,OT,Neck,Questionable
Matt Ioannidis,FA,DT,Back,Questionable
Matt Kaskey,FA,OT,Undisclosed,Questionable
Maurice Smith,FA,S,Undisclosed,Questionable
Micah Kiser,FA,LB,Leg,Questionable
Michael Schofield,FA,OG,Knee,Questionable
Michael Tutsie,FA,S,Undisclosed,Questionable
Michael Walker,FA,WR,Undisclosed,Questionable
Mike Brown,FA,OG,Undisclosed,Questionable
Mike Thomas,FA,WR,Shoulder - Labrum,Questionable
Milton Wright,FA,WR,Undisclosed,Questionable
Mohamed Ibrahim,FA,RB,Undisclosed,Questionable
Monte Pottebaum,FA,FB,Undisclosed,Reserve-Ret
Montre Hartage,FA,S,Undisclosed,Questionable
Montrel Meander,FA,LB,Achilles,Questionable
Nate Becker,FA,TE,Undisclosed,Questionable
Nate Ebner,FA,S,Ankle,Questionable
Nathan Cottrell,FA,RB,Undisclosed,Questionable
Nick Nelson,FA,CB,Undisclosed,Questionable
Nick O'Leary,FA,TE,Chest,Questionable
Nick Sundberg,FA,C,Elbow,Questionable
Nicolas Melsop,FA,OG,Undisclosed,Questionable
Noah Elliss,FA,DT,Undisclosed,Questionable
Obi Melifonwu,FA,S,Undisclosed,Questionable
Olivier Vernon,FA,DE,Achilles,Questionable
Osirus Mitchell,FA,WR,Quadriceps,Questionable
Otaro Alaka,FA,LB,Undisclosed,Questionable
Parker Hesse,FA,TE,Undisclosed,Out
Patrick Carr,FA,RB,Undisclosed,Questionable
Penny Hart,FA,WR,Concussion,Questionable
Quartney Davis,FA,WR,Shoulder,Questionable
Quentin Poling,FA,LB,Undisclosed,Questionable
Quinn Nordin,FA,K,Undisclosed,Questionable
Quintez Cephus,FA,WR,Suspension,Reserve-Sus
Ra'Shaun Henry,FA,WR,Undisclosed,Questionable
Rashad Torrence,FA,S,Knee,Questionable
Rashard Robinson,FA,CB,Undisclosed,Questionable
Rashod Berry,FA,DE,Suspension,Reserve-Sus
Raven Greene,FA,S,Undisclosed,Questionable
Reggie Ragland,FA,LB,Shoulder,Questionable
Reggie Robinson,FA,CB,Undisclosed,Questionable
Richard Rodgers,FA,TE,Knee,Questionable
Ricky Seals-Jones,FA,TE,Foot,Questionable
Rodney Hudson,FA,C,Knee,Questionable
Ross Pierschbacher,FA,C,Undisclosed,Questionable
Ross Reynolds,FA,OG,Undisclosed,Questionable
Ryan Connelly,FA,LB,Knee,Out
Ryan Groy,FA,OG,Triceps,Questionable
Ryan Nall,FA,FB,Shoulder,Questionable
Ryan Smenda,FA,LB,Undisclosed,Questionable
Ryan Smith,FA,CB,Suspension,Reserve-Sus
Saivion Smith,FA,S,Undisclosed,Questionable
Sam Renner,FA,DT,Undisclosed,Questionable
Sam Schlueter,FA,OT,Illness,Questionable
Sam Tevi,FA,OT,Knee - ACL,Questionable
Saquan Hampton,FA,S,Achilles,Questionable
Scott Lashley,FA,OT,Undisclosed,Questionable
Sewo Olonilua,FA,FB,Neck,Questionable
Shakur Brown,FA,CB,Undisclosed,Questionable
Shane Ray,FA,DE,Hamstring,Questionable
Shaquan Davis,FA,WR,Undisclosed,Out
Sharif Finch,FA,LB,Undisclosed,Questionable
Sharrod Neasman,FA,S,Undisclosed,Questionable
Shaun Jolly,FA,CB,Undisclosed,Questionable
Shawn Davis,FA,S,Abdomen,Questionable
Sherrick McManis,FA,S,Hamstring,Questionable
Silas Kelly,FA,LB,Undisclosed,Questionable
Stantley Thomas-Oliver,FA,CB,Hamstring,Questionable
Stephen Weatherly,FA,DE,Knee,Questionable
Sterling Weatherford,FA,LB,Undisclosed,Questionable
Steven Means,FA,LB,Achilles,Questionable
T.D. Moultry,FA,LB,Undisclosed,Questionable
Taco Charlton,FA,DE,Undisclosed,Questionable
Tae Daley,FA,S,Undisclosed,Questionable
Tajae Sharpe,FA,WR,Undisclosed,Questionable
Tanner Owen,FA,OT,Illness,Questionable
Taquan Mizzell,FA,WR,Undisclosed,Questionable
Tautala Pesefea,FA,DT,Undisclosed,Questionable
Tavon Wilson,FA,S,Foot,Questionable
Tavon Young,FA,CB,Undisclosed,Questionable
Tay Gowan,FA,CB,Undisclosed,Questionable
Tayler Hawkins,FA,S,Hand,Questionable
Taylor Lewan,FA,OT,Knee - ACL,Questionable
Ted Larsen,FA,OG,Knee,Questionable
Thomas Ives,FA,WR,Undisclosed,Questionable
Tino Ellis,FA,CB,Undisclosed,Questionable
Tipa Galeai,FA,LB,Hamstring,Questionable
Tom Compton,FA,OT,Back,Questionable
Tom Kennedy,FA,WR,Arm,Questionable
Tommylee Lewis,FA,WR,Hip,Questionable
Tony McRae,FA,CB,Knee,Questionable
Torrence Allen,FA,WR,Undisclosed,Questionable
Tre Harbison,FA,RB,Concussion,Questionable
Tre Roberson,FA,CB,Concussion,Questionable
Trenton Cannon,FA,RB,Knee,Questionable
Trestan Ebner,FA,RB,Concussion,Questionable
Trevon Grimes,FA,WR,Undisclosed,Questionable
Trey Ragas,FA,RB,Undisclosed,Questionable
Troy Brown,FA,LB,Undisclosed,Questionable
Troymaine Pope,FA,RB,Undisclosed,Questionable
Tucker McCann,FA,K,Undisclosed,Questionable
Tuzar Skipper,FA,LB,Undisclosed,Questionable
Tyarise Stevenson,FA,DT,Shoulder - AC Joint,Questionable
Tyler Ervin,FA,RB,Foot,Questionable
Tyler Shelvin,FA,DT,Undisclosed,Questionable
Tyrell Crosby,FA,OT,Back,Questionable
Tyrell Williams,FA,WR,Concussion,Questionable
Vernon Butler,FA,DT,Undisclosed,Questionable
Vi Jones,FA,LB,Ankle,Questionable
Vincent Taylor,FA,DT,Achilles,Questionable
Virgil Green,FA,TE,Ankle,Questionable
Warren Jackson,FA,WR,Undisclosed,Questionable
